ANZSCOUnit,ANZSCOUnitCode,essential_v_non
Cafe Workers,4312,0
Gaming Workers,4313,0
Hotel Service Managers,4314,0
Waiters,4315,0
Other Hospitality Workers,4319,0
Protective Service Workers,4400,1
"Defence Force Members, Fire Fighters and Police",4410,1
Defence Force Members - Other Ranks,4411,1
Fire and Emergency Workers,4412,1
Police,4413,1
Prison and Security Officers,4420,1
Prison Officers,4421,1
Security Officers and Guards,4422,0
Sports and Personal Service Workers,4500,0
Personal Service and Travel Workers,4510,0
Beauty Therapists,4511,0
Driving Instructors,4512,0
Funeral Workers,4513,1
"Gallery, Museum and Tour Guides",4514,0
Personal Care Consultants,4515,1
Tourism and Travel Advisers,4516,0
Travel Attendants,4517,0
Other Personal Service Workers,4518,1
Sports and Fitness Workers,4520,0
Fitness Instructors,4521,0
Outdoor Adventure Guides,4522,0
"Sports Coaches, Instructors and Officials",4523,0
Sportspersons,4524,0
Clerical and Administrative Workers,5000,0
Office Managers and Program Administrators,5100,0
"Contract, Program and Project Administrators",5111,0
Office and Practice Managers,5120,0
Office Managers,5121,0
Practice Managers,5122,1
Personal Assistants and Secretaries,5210,0
Personal Assistants,5211,0
Secretaries,5212,0
General Clerical Workers,5300,0
General Clerks,5311,0
Keyboard Operators,5321,0
Inquiry Clerks and Receptionists,5400,0
Call or Contact Centre Information Clerks,5410,0
Call or Contact Centre Workers,5411,0
Information Officers,5412,0
Receptionists,5421,0
Numerical Clerks,5500,0
Accounting Clerks and Bookkeepers,5510,0
Accounting Clerks,5511,0
Bookkeepers,5512,0
Payroll Clerks,5513,0
Financial and Insurance Clerks,5520,1
Bank Workers,5521,1
Credit and Loans Officers (Aus) / Finance Clerks (NZ),5522,1
"Insurance, Money Market and Statistical Clerks",5523,0
Clerical and Office Support Workers,5610,0
Betting Clerks,5611,0
Couriers and Postal Deliverers,5612,1
Filing and Registry Clerks,5613,0
Mail Sorters,5614,1
Survey Interviewers,5615,0
Switchboard Operators,5616,0
Other Clerical and Office Support Workers,5619,0
Other Clerical and Administrative Workers,5900,0
Logistics Clerks,5910,1
Purchasing and Supply Logistics Clerks,5911,1
Transport and Despatch Clerks,5912,1
Miscellaneous Clerical and Administrative Workers,5990,0
Conveyancers and Legal Executives,5991,0
Court and Legal Clerks,5992,1
Debt Collectors,5993,0
Human Resource Clerks,5994,0
Inspectors and Regulatory Officers,5995,0
"Insurance Investigators, Loss Adjusters and Risk Surveyors",5996,1
Library Assistants,5997,0
Other Miscellaneous Clerical and Administrative Workers,5999,0
Sales Workers,6000,0
Sales Representatives and Agents,6100,0
Insurance Agents and Sales Representatives,6110,1
"Auctioneers, and Stock and Station Agents",6111,1
Insurance Agents,6112,0
Sales Representatives,6113,1
Real Estate Sales Agents,6121,0
Sales Assistants and Salespersons,6210,1
Sales Assistants (General),6211,1
ICT Sales Assistants,6212,0
Motor Vehicle and Vehicle Parts Salespersons,6213,0
Pharmacy Sales Assistants,6214,1
Retail Supervisors,6215,1
Service Station Attendants,6216,0
Street Vendors and Related Salespersons,6217,0
Other Sales Assistants and Salespersons,6219,1
Sales Support Workers,6300,0
Checkout Operators and Office Cashiers,6311,1
Miscellaneous Sales Support Workers,6390,1
Models and Sales Demonstrators,6391,0
Retail and Wool Buyers,6392,1
Telemarketers,6393,0
Ticket Salespersons,6394,1
Visual Merchandisers,6395,0
Other Sales Support Workers,6399,1
Machinery Operators and Drivers,7000,0
Machine and Stationary Plant Operators,7100,0
Machine Operators,7110,0
"Clay, Concrete, Glass and Stone Processing Machine Operators",7111,0
Industrial Spraypainters,7112,0
Paper and Wood Processing Machine Operators,7113,0
Photographic Developers and Printers,7114,0
Plastics and Rubber Production Machine Operators,7115,0
Sewing Machinists,7116,0
Textile and Footwear Production Machine Operators,7117,0
Other Machine Operators,7119,0
Stationary Plant Operators,7120,0
